Rtype,RegionCode,RegionName,CarAccidents,Deaths,RegionMarker
federation,Russian Federation,Российская Федерация,203597,27991,1
fregion,RU-BEL,Белгородская область,1369,285,2
fregion,RU-BRY,Брянская область,1449,238,1
fregion,RU-VLA,Владимирская область,3157,450,2
fregion,RU-VOR,Воронежская область,3920,615,1
fregion,RU-IVA,Ивановская область,2018,187,2
fregion,RU-KLU,Калужская область,2140,368,1
fregion,RU-KOS,Костромская область,873,80,2
fregion,RU-KRS,Курская область,2060,307,1
fregion,RU-LIP,Липецкая область,2225,271,2
fregion,RU-MOW,Москва,12010,810,1
fregion,RU-MOS,Московская область,9241,1706,2
fregion,RU-ORL,Орловская область,1350,180,1
fregion,RU-RYA,Рязанская область,2464,370,2
fregion,RU-SMO,Смоленская область,1384,219,1
fregion,RU-TAM,Тамбовская область,2057,248,2
fregion,RU-TVE,Тверская область,2077,301,1
fregion,RU-TUL,Тульская область,2621,386,2
fregion,RU-YAR,Ярославская область,2078,284,1
fdistrict,Central,Центральный округ,54493,7305,2
fregion,RU-KR,Карелия родная карелия,861,110,1
fregion,RU-KO,Республика Коми,1675,134,2
fregion,RU-ARK,Архангельская область,2133,214,1
fregion,RU-VLG,Вологодская область,1986,207,2
fregion,RU-KGD,Калининградская область,1327,193,1
fregion,RU-LEN,Ленинградская область,3576,642,2
fregion,RU-SPE,Санкт-Петербург,8288,445,1
fregion,RU-MUR,Где то где я служил,969,85,2
fregion,RU-NGR,Новгородская область,1470,216,1
fregion,RU-PSK,Псковская область,1635,247,2
fregion,RU-NEN,Ненецкий авт.округ,43,4,1
fdistrict,Northwestern,Северо-Западный округ,23963,2497,2
fregion,RU-AD,Республика Адыгея,540,111,1
fregion,RU-KL,Республика Калмыкия,692,99,2
fregion,RU-KDA,Краснодарский край,6710,1190,1
fregion,RU-AST,Астраханская область,1763,168,2
fregion,RU-VGG,Волгоградская область,3052,432,1
fregion,RU-ROS,Ростовская область,6183,823,2
fdistrict,Southern,Южный округ,18940,2823,1
fregion,RU-DA,Республика Дагестан,1419,510,2
fregion,RU-IN,Республика Ингушетия,235,88,1
fregion,RU-KB,Кабардино-Балкарская Республика,837,212,2
fregion,RU-KC,Карачаево-Черкесская Республика,642,133,1
fregion,RU-SE,Республика Северная Осетия,769,156,2
fregion,RU-CE,Чеченская Республика,387,210,1
fregion,RU-CE & RU-IN,Чеченская Республика и Республика Ингушетия,652,298,2
fregion,RU-STA,Ставропольский край,2912,504,1
fdistrict,Northcaucasian,Северо-Кавказский округ,7201,1813,2
fregion,RU-BA,Республика Башкортостан,5115,707,1
fregion,RU-ME,Республика Марий Эл,1113,151,2
fregion,RU-MO,Республика Мордовия,1104,219,1
fregion,RU-TA,Республика Татарстан,5483,695,2
fregion,RU-UD,Удмуртская Республика,1524,269,1
fregion,RU-CU,Чувашская Республика,2061,265,2
fregion,RU-PER,Пермский край,3898,596,1
fregion,RU-KIR,Кировская область,2093,241,2
fregion,RU-NIZ,Нижегородская область,5215,706,1
fregion,RU-ORE,Оренбургская область,2449,369,2
fregion,RU-PNZ,Пензенская область,2251,296,1
fregion,RU-SAM,Самарская область,4600,591,2
fregion,RU-SAR,Саратовская область,2605,438,1
fregion,RU-ULY,Ульяновская область,2199,212,2
fdistrict,Volga,Приволжский округ,41710,5755,1
fregion,RU-KGN,Курганская область,1410,235,2
fregion,RU-SVE,Свердловская область,5387,836,1
fregion,RU-TYU,Тюменская область,3431,381,2
fregion,RU-CHE,Челябинская область,4924,641,1
fregion,RU-KHM,Ханты-мансийский авт.округ,2462,308,2
fregion,RU-YAN,Ямало-ненецкий авт.округ,743,81,1
fdistrict,Urals,Уральский округ,18357,2482,2
fregion,RU-AL,Республика Алтай,436,84,1
fregion,RU-BU,Республика Бурятия,1463,237,2
fregion,RU-TY,Республика Тыва,337,145,1
fregion,RU-KK,Республика Хакасия,1170,149,2
fregion,RU-ALT,Алтайский край,3778,407,1
fregion,RU-ZAB,Забайкальский край,1287,277,2
fregion,RU-KYA,Красноярский край,5135,620,1
fregion,RU-IRK,Иркутская область,3420,529,2
fregion,RU-KEM,Кемеровская область,3913,562,1
fregion,RU-NVS,Новосибирская область,2637,453,2
fregion,RU-OMS,Омская область,3377,375,1
fregion,RU-TOM,Томская область,952,126,2
fdistrict,Siberia,Сибирский округ,27905,3964,1
fregion,RU-SA,Республика Саха (Якутия),932,134,2
fregion,RU-PRI,Приморский край,4370,497,1
fregion,RU-KAM,Камчатский край,655,75,2
fregion,RU-KHA,Хабаровский край,2203,233,1
fregion,RU-AMU,Амурская область,1367,192,2
fregion,RU-MAG,Магаданская область,314,49,1
fregion,RU-SAK,Сахалинская область,760,120,2
fregion,RU-YEV,Еврейская автономная область,403,51,1
fregion,RU-CHU,Чукотский авт.округ,24,1,2
fdistrict,Far_Eastern,Дальневосточный округ,11028,1352,1
